Periode;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12
P1;11;4;2;0;2;0;5;1;2;2;4;3
P2;11;3;2;0;2;0;6;1;2;2;3;3
P3;13;3;2;0;5;0;6;2;4;3;3;2
P4;13;3;2;0;5;0;7;2;6;3;3;2
P5;13;3;2;0;7;0;7;2;6;2;3;3
P6;13;3;2;4;7;0;7;2;6;2;3;2
P7;26;4;2;4;7;0;4;1;5;2;3;3
P8;25;4;2;4;6;0;4;3;6;2;3;3
P9;25;3;2;4;6;0;4;3;6;2;3;3
P10;25;3;2;4;6;0;4;3;6;2;3;3
P11;22;3;2;4;1;0;4;2;4;0;3;3
P12;22;3;2;4;1;0;4;2;4;0;3;3
P13;20;2;2;4;1;0;2;2;2;0;3;3
P14;20;2;2;4;1;0;2;2;2;0;3;3
P15;20;2;2;4;1;0;2;2;2;0;3;3
P16;20;2;2;4;1;0;2;5;2;1;3;3
P17;20;2;2;4;1;0;4;5;3;1;3;3
P18;20;2;2;4;1;0;4;7;4;1;3;3
P19;20;2;2;4;1;0;4;7;4;1;3;3
P20;20;31;2;4;1;0;6;10;7;2;3;3
P21;22;37;8;4;5;0;7;14;10;7;3;3
P22;22;39;8;4;5;0;9;18;12;7;4;3
P23;20;36;8;6;7;1;14;24;17;9;4;3
P24;76;38;10;8;7;2;14;28;18;9;4;3
P25;76;38;8;10;7;3;14;28;21;9;3;0
P26;76;38;8;10;7;3;14;28;21;9;3;0
P27;76;34;8;9;7;3;15;33;22;9;4;0
P28;76;34;8;9;7;3;15;35;22;9;4;0
P29;76;35;8;12;7;3;15;32;21;10;3;0
P30;76;35;8;13;8;4;15;32;22;10;3;0
P31;76;33;8;13;7;3;15;32;22;10;3;0
P32;76;33;8;13;7;3;15;32;22;10;3;0
P33;76;33;8;14;7;3;15;34;23;10;3;0
P34;76;33;8;14;7;4;15;31;23;11;3;0
P35;76;33;8;17;7;4;15;31;22;11;3;0
P36;76;33;8;16;7;4;15;31;22;12;3;0
