;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12
P1;6;2;2;0;0;0;8;0;4;0;3;8
P2;6;2;2;0;0;0;8;0;4;0;3;8
P3;6;2;2;0;0;0;8;0;4;0;3;8
P4;6;2;2;0;0;0;8;0;4;0;3;8
P5;6;2;2;0;0;0;8;0;4;0;3;8
P6;6;2;2;0;0;0;8;0;4;0;3;8
P7;6;2;2;0;0;0;8;0;4;0;3;8
P8;6;2;2;0;0;0;8;0;4;0;3;8
P9;6;2;2;0;0;0;8;0;5;0;3;8
P10;6;4;2;0;0;0;8;0;5;0;3;8
P11;12;4;2;0;0;0;8;2;5;0;3;8
P12;12;4;2;0;0;0;8;2;5;0;3;1
P13;11;4;2;0;0;0;8;2;2;0;3;1
P14;11;4;2;0;0;0;8;2;2;0;3;1
P15;11;4;2;0;1;0;8;2;2;0;3;1
P16;11;4;2;0;1;0;8;2;2;0;3;1
P17;11;4;2;0;1;0;8;2;2;0;3;1
P18;15;5;2;0;1;0;8;2;2;1;3;1
P19;14;4;2;0;1;0;8;3;2;1;3;1
P20;17;4;2;0;1;0;8;4;3;1;3;1
P21;17;4;2;0;1;0;8;5;3;1;3;0
P22;17;6;2;0;1;0;8;6;3;2;3;0
P23;18;6;2;0;1;0;8;9;5;2;3;0
P24;80;8;3;6;1;0;7;12;5;6;3;0
P25;80;8;4;6;4;2;13;23;9;8;3;0
P26;76;11;4;6;4;4;14;25;10;12;3;0
P27;79;12;11;9;4;5;14;25;10;14;3;0
P28;79;10;11;8;4;6;14;25;10;15;3;0
P29;79;10;11;8;5;6;14;26;11;18;1;0
P30;80;12;11;10;5;6;13;27;12;17;1;0
P31;80;7;8;10;3;7;13;27;12;15;3;0
P32;73;7;8;16;4;7;14;21;10;15;3;0
P33;66;7;7;24;3;5;12;23;12;15;3;0
P34;61;7;7;27;2;6;12;24;13;15;3;0
P35;63;5;7;27;2;6;12;24;13;14;3;0
P36;63;5;7;27;3;6;12;24;12;14;3;0
