Discipline	I1	P1	T1	I2	P2	T2	EfDiscipli	I1FP	P1FP	T1FP	I2FP	P2FP	T2FP	F_EfDiscipli
AnthropologieBiologique	25	8	3	504	213	18	20839	2,07	1,82	1,64	3,29	2,30	2,52	0,25
AnthropologieSociale&ethnologie	1725	553	218	18632	9285	956	773956	3,85	3,39	3,20	3,27	2,70	3,60	9,12
Archéologie	421	256	19	2841	3398	146	284855	2,55	4,26	0,76	1,36	2,68	1,49	3,36
ArchiAmenagement	149	51	19	1663	1289	160	76274	3,37	3,17	2,83	2,96	3,80	6,11	0,90
Art&HistoireDeArt	608	263	107	9508	2682	435	518132	2,03	2,41	2,35	2,49	1,16	2,45	6,10
Demographie	35	12	3	970	640	22	65743	0,92	0,87	0,52	2,01	2,19	0,98	0,77
Droit	497	196	52	10217	3128	250	315226	2,72	2,95	1,88	4,40	2,23	2,31	3,71
Economie&Finance	810	307	118	13521	13900	424	485547	2,88	3,00	2,76	3,78	6,44	2,55	5,72
Education	1566	555	331	9510	9079	776	279164	9,69	9,43	13,49	4,63	7,32	8,10	3,29
EtudesClassiques	18	10	5	551	138	10	36143	0,86	1,31	1,57	2,07	0,86	0,81	0,43
EtudesEnvironnement	49	20	10	615	335	16	23653	3,58	4,01	4,81	3,53	3,19	1,97	0,28
EtudesSurLeGenre	317	64	14	4694	1175	294	78125	7,01	3,89	2,04	8,17	3,38	10,97	0,92
Géographie	1537	575	253	16202	10319	832	503435	5,27	5,42	5,72	4,37	4,61	4,82	5,93
Gestion&Managment	263	169	84	4449	5463	246	106233	4,28	7,55	8,99	5,69	11,57	6,75	1,25
Museologie	62	27	8	951	288	25	72324	1,48	1,77	1,26	1,79	0,90	1,01	0,85
Histoire	2920	1138	309	35553	16260	1629	1654769	3,05	3,26	2,12	2,92	2,21	2,87	19,50
HistoirePhiloSocioDesSciences	275	76	42	2118	2156	143	113013	4,20	3,19	4,23	2,55	4,29	3,69	1,33
Linguistique	790	284	114	9069	8420	400	213525	6,39	6,31	6,07	5,77	8,87	5,46	2,52
Littérature	1519	501	269	18378	5806	845	649746	4,04	3,66	4,71	3,84	2,01	3,79	7,66
Methodes&Stats	11	1	1	151	240	3	8966	2,12	0,53	1,27	2,29	6,02	0,98	0,11
MusiqueMusicologieArtScene	109	39	14	2005	797	43	130647	1,44	1,42	1,22	2,09	1,37	0,96	1,54
Philosophie	448	113	71	10004	1849	400	220072	3,52	2,44	3,67	6,18	1,89	5,30	2,59
Psychologie	271	112	50	2925	1472	188	90577	5,17	5,87	6,28	4,39	3,66	6,05	1,07
Religions	48	16	3	1459	399	11	78467	1,06	0,97	0,43	2,53	1,14	0,41	0,92
SciencePo	821	280	110	14606	6162	352	551459	2,57	2,41	2,27	3,60	2,51	1,86	6,50
ScienceInfo&Communication	908	374	155	7571	5891	445	212357	7,39	8,36	8,30	4,85	6,24	6,11	2,50
Sociologie	3472	1234	456	35251	18152	1935	923865	6,49	6,34	5,61	5,19	4,42	6,10	10,89
TOTAL	19674	7234	2838	233918	128936	11004	8487112	100	100	100	100	100	100	100
